               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 102,            0.037709,            0.021283,           0.0025417,             0.58153,             0.50289,             0.46026,             0.19751,            0.049193,            0.031136,           0.0041878,             0.00697,             0.00697,             0.00697
                 103,            0.037833,            0.021154,           0.0025705,             0.55572,             0.49548,             0.44846,              0.1931,            0.049216,            0.031236,           0.0041678,             0.00694,             0.00694,             0.00694
                 104,             0.03734,            0.021442,           0.0024837,             0.52779,             0.51146,             0.45621,             0.19364,            0.049281,            0.031295,           0.0041358,             0.00691,             0.00691,             0.00691
                 105,             0.03719,            0.021017,           0.0024908,             0.56796,             0.48857,              0.4581,             0.19034,            0.049354,            0.031248,           0.0041069,             0.00688,             0.00688,             0.00688
                 106,            0.037394,            0.020971,           0.0023974,             0.56924,             0.48468,             0.45529,             0.19436,             0.04937,            0.031319,           0.0041544,             0.00685,             0.00685,             0.00685
                 107,            0.036705,            0.021047,           0.0024485,             0.54763,             0.50335,             0.45334,             0.19296,            0.049312,            0.031385,            0.004175,             0.00682,             0.00682,             0.00682
                 108,            0.036883,            0.021022,           0.0025035,             0.55424,             0.51064,             0.45288,             0.19089,            0.049315,            0.031551,           0.0041816,             0.00679,             0.00679,             0.00679
                 109,            0.036787,            0.021127,           0.0024798,             0.56755,             0.50114,             0.45387,             0.19275,            0.049418,            0.031752,           0.0041892,             0.00676,             0.00676,             0.00676
                 110,            0.037008,            0.020734,           0.0025246,             0.53626,             0.51451,             0.45439,             0.19152,            0.049523,            0.031923,           0.0042082,             0.00673,             0.00673,             0.00673
                 111,            0.036676,            0.020513,           0.0023489,             0.56331,             0.49838,             0.45182,             0.19155,            0.049569,            0.032114,           0.0041981,              0.0067,              0.0067,              0.0067
                 112,            0.036531,            0.020813,           0.0023487,             0.56546,              0.4891,               0.447,             0.18965,              0.0496,            0.032323,           0.0041965,             0.00667,             0.00667,             0.00667
                 113,            0.036086,            0.020525,           0.0023461,              0.5598,             0.49047,             0.44625,             0.19038,            0.049537,            0.032427,           0.0042023,             0.00664,             0.00664,             0.00664
                 114,            0.036451,            0.020572,           0.0024489,             0.55627,             0.50663,             0.44567,             0.18725,            0.049548,             0.03253,           0.0042028,             0.00661,             0.00661,             0.00661
                 115,             0.03596,              0.0201,           0.0023712,             0.55656,             0.51051,             0.44764,             0.18942,            0.049526,            0.032562,           0.0041922,             0.00658,             0.00658,             0.00658
                 116,            0.036258,            0.020411,             0.00238,             0.56641,             0.49242,              0.4463,             0.19031,            0.049495,            0.032599,              0.0042,             0.00655,             0.00655,             0.00655
                 117,            0.036136,            0.020368,           0.0024561,             0.56667,             0.49291,             0.44181,             0.18877,            0.049468,            0.032585,           0.0042151,             0.00652,             0.00652,             0.00652
                 118,            0.035697,            0.019988,           0.0023898,              0.5846,             0.48735,             0.43887,             0.18722,            0.049496,             0.03268,           0.0042267,             0.00649,             0.00649,             0.00649
                 119,            0.035551,            0.019917,           0.0022164,             0.57608,             0.49359,             0.44235,             0.18987,             0.04948,            0.032768,           0.0042399,             0.00646,             0.00646,             0.00646
                 120,            0.035744,            0.020172,            0.002309,             0.57151,             0.49285,             0.44854,             0.18777,            0.049454,            0.032856,           0.0042311,             0.00643,             0.00643,             0.00643
                 121,            0.035282,            0.019846,           0.0022664,             0.56556,              0.4952,             0.45007,             0.19062,            0.049428,             0.03293,           0.0042382,              0.0064,              0.0064,              0.0064
                 122,            0.035523,            0.020042,           0.0022373,             0.57127,             0.49514,             0.44482,             0.18918,            0.049424,            0.032943,           0.0042342,             0.00637,             0.00637,             0.00637
                 123,            0.035454,            0.020187,           0.0022331,              0.5732,             0.49481,             0.44335,             0.18814,             0.04943,            0.033024,           0.0042463,             0.00634,             0.00634,             0.00634
                 124,            0.035551,            0.019957,           0.0022795,             0.54321,             0.53288,             0.44237,             0.18977,            0.049421,            0.033106,           0.0042606,             0.00631,             0.00631,             0.00631
                 125,            0.035023,            0.019741,           0.0021321,             0.54455,             0.52561,             0.43951,              0.1884,            0.049464,            0.033196,           0.0042613,             0.00628,             0.00628,             0.00628
                 126,            0.035346,            0.019475,           0.0022375,             0.57723,             0.48409,             0.43557,             0.18872,            0.049515,            0.033279,           0.0042553,             0.00625,             0.00625,             0.00625
                 127,            0.035215,            0.019689,           0.0022481,             0.57886,             0.48469,               0.437,             0.18834,            0.049534,            0.033349,           0.0042496,             0.00622,             0.00622,             0.00622
                 128,            0.035255,            0.019728,           0.0023121,             0.57522,             0.48633,             0.44019,              0.1888,            0.049548,            0.033414,           0.0042474,             0.00619,             0.00619,             0.00619
                 129,            0.035137,            0.019973,           0.0022123,             0.57488,             0.48725,             0.44019,             0.18976,            0.049546,            0.033468,           0.0042541,             0.00616,             0.00616,             0.00616
                 130,            0.034628,            0.019565,           0.0022952,             0.56111,             0.51151,             0.44708,             0.19108,            0.049516,            0.033523,           0.0042547,             0.00613,             0.00613,             0.00613
                 131,            0.034772,             0.01971,           0.0022846,             0.56715,             0.50315,             0.44849,             0.19234,            0.049504,            0.033596,           0.0042527,              0.0061,              0.0061,              0.0061
                 132,            0.034666,            0.019547,           0.0021713,             0.55977,              0.5095,              0.4462,             0.19145,             0.04952,            0.033648,            0.004265,             0.00607,             0.00607,             0.00607
                 133,            0.034587,             0.01935,           0.0022115,             0.56337,             0.50863,             0.44591,             0.19086,            0.049538,             0.03372,           0.0042784,             0.00604,             0.00604,             0.00604
                 134,            0.034361,            0.019493,           0.0022552,             0.57647,             0.50001,              0.4501,             0.19103,             0.04955,            0.033836,           0.0042771,             0.00601,             0.00601,             0.00601
                 135,            0.034499,            0.019229,           0.0022011,             0.59442,             0.49539,             0.45214,              0.1931,            0.049566,            0.033923,           0.0042772,             0.00598,             0.00598,             0.00598
                 136,             0.03436,            0.019124,           0.0021227,             0.59197,             0.49719,             0.44711,             0.19187,            0.049584,            0.033994,             0.00428,             0.00595,             0.00595,             0.00595
                 137,            0.034037,            0.019428,           0.0020855,             0.58382,             0.50101,             0.44691,             0.19182,            0.049608,            0.034083,            0.004292,             0.00592,             0.00592,             0.00592
                 138,            0.033698,            0.019263,           0.0021038,              0.5575,             0.51163,             0.44208,             0.18963,            0.049638,            0.034131,           0.0042888,             0.00589,             0.00589,             0.00589
                 139,            0.033628,            0.019478,           0.0021094,             0.55558,             0.51504,             0.44241,             0.18891,            0.049668,            0.034245,           0.0042856,             0.00586,             0.00586,             0.00586
                 140,            0.033668,            0.019325,           0.0020938,             0.57732,             0.50381,             0.44607,             0.18999,             0.04968,            0.034323,           0.0042896,             0.00583,             0.00583,             0.00583
                 141,            0.034076,            0.018982,           0.0022786,             0.55636,             0.51599,             0.44347,             0.18923,            0.049706,            0.034405,           0.0043043,              0.0058,              0.0058,              0.0058
                 142,            0.033644,            0.019051,           0.0021623,             0.58014,             0.50589,             0.44327,             0.18946,            0.049719,            0.034472,           0.0043134,             0.00577,             0.00577,             0.00577
                 143,            0.033402,            0.018947,           0.0021691,             0.55049,             0.51757,             0.44176,             0.18785,             0.04973,            0.034531,           0.0043221,             0.00574,             0.00574,             0.00574
                 144,            0.033545,            0.018898,           0.0021344,             0.55827,               0.515,             0.43907,             0.18726,            0.049751,            0.034578,           0.0043279,             0.00571,             0.00571,             0.00571
                 145,            0.033238,            0.018752,            0.001984,             0.56881,             0.51343,              0.4377,              0.1868,            0.049785,            0.034614,           0.0043321,             0.00568,             0.00568,             0.00568
                 146,            0.033242,            0.018555,           0.0020066,             0.56486,             0.51482,             0.43546,             0.18625,            0.049806,            0.034661,           0.0043392,             0.00565,             0.00565,             0.00565
                 147,            0.033809,             0.01843,           0.0021472,             0.54382,             0.51807,             0.43464,             0.18511,            0.049824,            0.034713,            0.004343,             0.00562,             0.00562,             0.00562
                 148,            0.032985,            0.018881,           0.0020589,             0.54705,             0.52021,             0.43528,             0.18497,            0.049845,            0.034753,           0.0043479,             0.00559,             0.00559,             0.00559
                 149,            0.032949,            0.018527,           0.0019981,             0.55181,             0.51601,             0.43562,             0.18599,            0.049864,            0.034796,            0.004353,             0.00556,             0.00556,             0.00556
                 150,            0.033217,            0.018335,            0.002043,             0.55779,             0.51558,             0.43504,             0.18431,            0.049866,            0.034847,           0.0043608,             0.00553,             0.00553,             0.00553
                 151,            0.032908,             0.01873,           0.0021403,             0.55289,             0.51436,             0.43536,             0.18456,            0.049884,             0.03492,           0.0043682,              0.0055,              0.0055,              0.0055
                 152,            0.033037,            0.018526,           0.0020954,             0.55227,             0.51823,             0.43537,             0.18434,            0.049895,            0.034929,           0.0043713,             0.00547,             0.00547,             0.00547
